,0,1,2,3,4,5,6,7,8,9,10,11
0,, , , , ,CONTAINER RAIL MOVES HISTORY, ,PIER CONTAINER HISTORY, , ,TEU HISTORY, 
1,0.0,0,0,PERIOD,INTERMODAL,CHS RAIL MOVES RATIO,LOADED,EMPTY,TOTAL,LOADED,EMPTY,TOTAL
2,1.0,1,1,,DRAYS,,EXPORT IMPORT,EXPORT IMPORT,,EXPORT IMPORT,EXPORT IMPORT,
107,106.0,106,106,"March, 2006",0,0 0.00%,"3 3,674 4 2,730","1 2,664 3 ,079","9 2,147","5 9,631 7 5,007","2 0,683 5 ,486","1 60,807"
108,107.0,107,107,"April, 2006",0,0 0.00%,"3 1,488 4 5,495","1 5,542 2 ,102","9 4,627","5 5,615 8 0,395","2 6,621 3 ,526","1 66,156"
109,108.0,108,108,"May, 2006",0,0 0.00%,"3 3,762 4 3,323","1 7,691 2 ,292","9 7,068","5 9,054 7 6,101","3 0,849 3 ,827","1 69,831"
110,109.0,109,109,"June, 2006",0,0 0.00%,"3 2,935 4 4,907","1 8,212 3 ,299","9 9,353","5 7,676 7 8,504","3 2,547 6 ,034","1 74,760"
111,110.0,110,110,"July, 2006",0,0 0.00%,"2 9,765 4 4,414","1 8,062 2 ,297","9 4,538","5 1,962 7 8,549","3 1,511 4 ,016","1 66,038"
112,111.0,111,111,"August, 2006",0,0 0.00%,"3 1,889 4 2,577","1 9,013 2 ,175","9 5,654","5 5,301 7 4,756","3 3,848 3 ,636","1 67,541"
113,112.0,112,112,"September, 2006",0,0 0.00%,"3 0,805 4 3,881","1 7,023 1 ,312","9 3,021","5 3,415 7 7,593","2 9,917 2 ,248","1 63,173"
114,113.0,113,113,"October, 2006",0,0 0.00%,"3 2,165 4 3,032","1 9,760 2 ,068","9 7,025","5 6,343 7 5,818","3 4,956 3 ,462","1 70,577"
115,114.0,114,114,"November, 2006",0,0 0.00%,"3 0,404 3 7,109","1 5,106 4 ,484","8 7,103","5 3,480 6 4,669","2 5,661 7 ,939","1 51,748"
116,115.0,115,115,"December, 2006",0,0 0.00%,"3 3,378 3 9,682","1 5,021 3 ,501","9 1,582","5 8,562 6 9,556","2 5,886 6 ,154","1 60,157"
117,116.0,116,116,"January, 2007",0,0 0.00%,"3 0,577 3 6,042","1 1,871 4 ,312","8 2,802","5 3,717 6 2,981","2 0,213 7 ,259","1 44,169"
118,117.0,117,117,"February, 2007",0,0 0.00%,"3 1,170 3 4,212","1 1,884 3 ,896","8 1,162","5 5,244 6 0,109","2 0,090 6 ,512","1 41,954"
0,, , , , ,CONTAINER RAIL MOVES HISTORY, ,PIER CONTAINER HISTORY, , ,TEU HISTORY, 
1,0.0,0,0,PERIOD,INTERMODAL,CHS RAIL MOVES RATIO,LOADED,EMPTY,TOTAL,LOADED,EMPTY,TOTAL
2,1.0,1,1,,DRAYS,,EXPORT IMPORT,EXPORT IMPORT,,EXPORT IMPORT,EXPORT IMPORT,
3,2.0,2,2,"March, 2007",0,0 0.00%,"3 6,005 4 0,763","1 3,453 3 ,688","9 3,909","6 3,864 7 1,351","2 2,290 6 ,451","1 63,956"
4,3.0,3,3,"April, 2007",0,0 0.00%,"3 2,213 3 8,543","1 3,124 3 ,000","8 6,880","5 7,123 6 7,630","2 3,076 5 ,285","1 53,114"
5,4.0,4,4,"May, 2007",0,0 0.00%,"3 2,392 3 6,573","1 1,811 3 ,576","8 4,352","5 6,601 6 3,664","2 0,705 6 ,221","1 47,191"
6,5.0,5,5,"June, 2007",0,0 0.00%,"3 4,022 3 9,287","1 1,356 3 ,417","8 8,082","5 9,492 6 9,010","2 0,043 5 ,488","1 54,033"
7,6.0,6,6,"July, 2007",0,0 0.00%,"2 8,562 3 6,043","1 2,085 3 ,144","7 9,834","4 9,389 6 2,877","2 0,938 4 ,544","1 37,748"
8,7.0,7,7,"August, 2007",0,0 0.00%,"3 2,735 3 8,484","1 2,680 3 ,664","8 7,563","5 6,556 6 7,641","2 1,867 5 ,169","1 51,233"
9,8.0,8,8,"September, 2007",0,0 0.00%,"3 2,486 3 6,866","1 0,856 3 ,407","8 3,615","5 5,804 6 4,723","1 9,339 5 ,679","1 45,544"
10,9.0,9,9,"October, 2007",0,0 0.00%,"3 1,543 3 4,949","9 ,630 3 ,054","7 9,176","5 4,775 6 1,404","1 7,770 5 ,184","1 39,132"
11,10.0,10,10,"November, 2007",0,0 0.00%,"3 3,888 3 4,242","9 ,013 4 ,197","8 1,340","5 8,674 5 9,831","1 5,614 7 ,455","1 41,573"
12,11.0,11,11,"December, 2007",0,0 0.00%,"3 2,703 3 4,191","6 ,113 4 ,030","7 7,037","5 6,843 5 9,525","1 0,936 7 ,425","1 34,729"
13,12.0,12,12,"January, 2008",0,0 0.00%,"3 0,752 3 1,070","8 ,088 4 ,628","7 4,538","5 3,662 5 4,027","1 3,623 7 ,562","1 28,874"
14,13.0,13,13,"February, 2008",0,0 0.00%,"3 5,806 3 4,734","7 ,077 3 ,661","8 1,278","6 3,023 6 0,573","1 1,593 5 ,725","1 40,913"
15,14.0,14,14,"March, 2008",0,0 0.00%,"3 3,529 3 6,025","6 ,872 3 ,336","7 9,762","5 8,681 6 2,682","1 2,006 6 ,105","1 39,474"
16,15.0,15,15,"April, 2008",0,0 0.00%,"3 4,525 3 4,418","6 ,542 3 ,598","7 9,083","6 0,652 5 9,653","1 0,724 6 ,667","1 37,695"
17,16.0,16,16,"May, 2008",0,0 0.00%,"3 6,997 3 8,183","9 ,441 4 ,816","8 9,437","6 5,520 6 6,335","1 6,634 9 ,064","1 57,553"
18,17.0,17,17,"June, 2008",0,0 0.00%,"3 4,715 3 2,781","7 ,187 5 ,445","8 0,128","6 1,250 5 7,055","1 1,922 9 ,809","1 40,036"
19,18.0,18,18,"July, 2008",0,0 0.00%,"3 2,461 3 4,476","6 ,846 5 ,636","7 9,419","5 6,722 6 0,131","1 1,587 9 ,751","1 38,191"
20,19.0,19,19,"August, 2008",0,0 0.00%,"3 5,856 3 5,666","9 ,181 4 ,982","8 5,685","6 3,186 6 2,454","1 5,442 8 ,113","1 49,195"
21,20.0,20,20,"September, 2008",0,0 0.00%,"3 1,291 3 1,219","5 ,908 3 ,188","7 1,606","5 5,917 5 4,680","1 0,135 5 ,424","1 26,156"
22,21.0,21,21,"October, 2008",0,0 0.00%,"3 0,468 3 6,462","1 2,894 4 ,050","8 3,874","5 4,294 6 3,890","2 1,174 7 ,521","1 46,878"
23,22.0,22,22,"November, 2008",0,0 0.00%,"2 5,465 2 9,314","1 1,728 4 ,462","7 0,969","4 5,581 5 0,779","1 9,243 7 ,629","1 23,231"
24,23.0,23,23,"December, 2008",0,0 0.00%,"2 2,197 2 5,641","1 0,759 2 ,647","6 1,244","3 9,781 4 4,378","1 8,203 4 ,977","1 07,339"
