,0,1,2,3,4,5,6,7
25,24.0,Charleston SCCartagena Colombia6Hamburg Sud/Hapag‐Lloyd ‐‐ APL/CMA CGM/Maersk Line/SeaLand ‐ AGAS/USWCaribbean/North Coast of South America,,,,,,
26,25.0,"Charleston SCColon, Panama11OCEAN Alliance ‐‐ ANL ‐ NUECentral America",,,,,,
27,26.0,Charleston SCCristobal Panama69Maersk Line ‐‐ Alianca/Hamburg Sud/Hapag‐Lloyd/MSC/SeaLand ‐ OC1Central America,,,,,,
28,27.0,Charleston SCDubai Jebel Ali40MSC ‐ Indus ExpressMideast,,,,,,
29,28.0,Charleston SCDurban28MSC/Maersk Line ‐ America Express‐AMEXAfrica (excluding Med),,,,,,
30,29.0,Charleston SCFreeport Bahamas3MSC ‐ Indus ExpressCaribbean/North Coast of South America,,,,,,
31,30.0,Charleston SCFreeport Bahamas5MSC/Maersk Line ‐ America Express‐AMEXCaribbean/North Coast of South America,,,,,,
32,31.0,Charleston SCGenoa IT232M Alliance ‐‐ Hamburg Sud ‐ MEDUSEC/TA5Mediterranean,,,,,,
33,32.0,Charleston SCGioia Tauro162M Alliance ‐‐ Hamburg Sud ‐ MEDUSEC/TA5Mediterranean,,,,,,
34,33.0,Charleston SCHaiphong34MSC ‐ Santana ServiceAsia: Southeast Asia,,,,,,
35,34.0,Charleston SCHaiphong42Wan Hai ‐ Asia America Service IX‐AA9 rtwAsia: Southeast Asia,,,,,,
36,35.0,Charleston SCHamburg15THE Alliance ‐ Transatlantic Loop 3‐AL3North Europe,,,,,,
37,36.0,"Charleston SCHong Kong37THE Alliance ‐ North America East Coast‐EC1Asia: Taiwan, China, Hong Kong",,,,,,
38,37.0,"Charleston SCHong Kong40OCEAN Alliance ‐‐ ANL ‐ South Atlantic Express‐ECX1/AWE4 rtwAsia: Taiwan, China, Hong Kong",,,,,,
39,38.0,Charleston SCIskenderun17COSCO/ONE ‐‐ OOCL ‐ EMAMediterranean,,,,,,
40,39.0,Charleston SCJakarta35Maersk/SeaLand ‐ Asia‐USEC‐TP20 rtwAsia: Southeast Asia,,,,,,
41,40.0,Charleston SCJeddah15Hapag‐Lloyd/CMA CGM/ONE/OOCL ‐‐ ANL/APL ‐ India East Coast Express‐INDAME Mideast,,,,,,
42,41.0,"Charleston SCKaohsiung35THE Alliance ‐ North America East Coast‐EC1Asia: Taiwan, China, Hong Kong",,,,,,
43,42.0,"Charleston SCKaohsiung39THE Alliance ‐ North America East Coast‐EC4Asia: Taiwan, China, Hong Kong",,,,,,
44,43.0,Charleston SCKing Abdullah City30MSC ‐ Indus ExpressMideast,,,,,,
45,44.0,Charleston SCKingston JM18ZIM ‐‐ Alianca/Hamburg Sud/Maersk Line/MSC/SeaLand ‐ ZCPCaribbean/North Coast of South America,,,,,,
46,45.0,Charleston SCLa Spezia26COSCO/ONE ‐‐ OOCL ‐ EMAMediterranean,,,,,,
47,46.0,Charleston SCLaem Chabang Thailand28OCEAN Alliance ‐‐ ANL ‐ Columbus JAX‐CJXAsia: Southeast Asia,,,,,,
48,47.0,Charleston SCLe Havre15OCEAN Alliance ‐ Liberty Bridge‐LIBERTYNorth Europe,,,,,,
49,48.0,Charleston SCLe Havre232M Alliance ‐‐ Alianca/Hamburg Sud ‐ NEUATL2/TA2North Europe,,,,,,
50,49.0,Charleston SCLe Havre28OCEAN Alliance ‐ Victory Bridge‐VICTORYNorth Europe,,,,,,
51,50.0,Charleston SCLeghorn222M Alliance ‐‐ Hamburg Sud ‐ MEDUSEC/TA5Mediterranean,,,,,,
52,51.0,Charleston SCLondon Gateway18THE Alliance ‐ Transatlantic Loop 3‐AL3North Europe,,,,,,
53,52.0,Charleston SCManzanillo Panama8Hamburg Sud/Hapag‐Lloyd ‐‐ APL/CMA CGM/Maersk Line/SeaLand ‐ AGAS/USWCentral America,,,,,,
54,53.0,Charleston SCManzanillo Panama15THE Alliance ‐ North America East Coast‐EC1Central America,,,,,,
55,54.0,Charleston SCMelbourne AU37Maersk Line ‐‐ Alianca/Hamburg Sud/Hapag‐Lloyd/MSC/SeaLand ‐ OC1Oceania,,,,,,
56,55.0,Charleston SCMontevideo20Hamburg Sud/Hapag‐Lloyd ‐‐ Alianca/Maersk Line/SeaLand ‐ TANGO/SECEast Coast of South America,,,,,,
57,56.0,Charleston SCMumbai (Nhava Sheva)25Hapag‐Lloyd/CMA CGM/ONE/OOCL ‐‐ ANL/APL ‐ India East Coast Express‐INDAME Indian Subcontinent,,,,,,
58,57.0,Charleston SCMumbai (Nhava Sheva)45MSC ‐ Indus ExpressIndian Subcontinent,,,,,,
59,58.0,Charleston SCMundra27Hapag‐Lloyd/CMA CGM/ONE/OOCL ‐‐ ANL/APL ‐ India East Coast Express‐INDAME Indian Subcontinent,,,,,,
60,59.0,Charleston SCMundra47MSC ‐ Indus ExpressIndian Subcontinent,,,,,,
