,2,Period | South Carolina Ports,Intermodal Drays South Carolina Ports,Total Pier Container History South Carolina Ports,Total  TEU History  South Carolin PORTS
30,29,"September, 2019","26,315","1 10,025","1 94,948"
31,30,"October, 2019","27,684","1 22,591","2 17,360"
32,31,"November, 2019","24,199","1 04,324","1 84,928"
33,32,"December, 2019","26,352","1 05,783","1 87,882"
34,33,"January, 2020","29,385","1 18,943","2 11,020"
35,34,"February, 2020","29,765","1 10,927","1 97,214"
36,35,"March, 2020","29,307","1 05,003","1 85,631"
37,36,"April, 2020","20,683","1 00,810","1 76,152"
38,37,"May, 2020","22,290","9 7,966","1 69,705"
39,38,"June, 2020","25,358","8 9,027","1 56,494"
40,39,"July, 2020","27,145","9 9,431","1 76,974"
41,40,"August, 2020","30,355","1 16,248","2 08,837"
42,41,"September, 2020","29,134","1 07,816","1 95,101"
43,42,"October, 2020","31,724","1 19,986","2 16,196"
44,43,"November, 2020","29,755","1 14,899","2 07,066"
45,44,"December, 2020","31,349","1 16,685","2 09,606"
46,45,"January, 2021","29,172","1 21,236","2 16,265"
47,46,"February, 2021","29,185","1 01,609","1 82,269"
48,47,"March, 2021","34,661","1 37,855","2 48,796"
49,48,"April, 2021","27,718","1 25,959","2 25,136"
50,49,"May, 2021","26,624","1 28,519","2 30,870"
51,50,"June, 2021","27,827","1 28,622","2 31,758"
52,51,"July, 2021","25,607","1 37,158","2 44,821"
53,52,"August, 2021","26,381","1 30,729","2 34,688"
54,53,"September, 2021","25,967","1 13,486","2 05,008"
55,54,"October, 2021","27,344","1 30,417","2 34,923"
56,55,"November, 2021","28,821","1 38,573","2 50,711"
57,56,"December, 2021","29,007","1 37,506","2 46,198"
58,57,"January, 2022","22,947","1 25,452","2 26,515"
59,58,"February, 2022","23,160","1 27,492","2 30,420"
60,59,"March, 2022","27,201","1 45,415","2 64,334"
61,60,"April, 2022","23,873","1 45,779","2 64,099"
62,61,"May, 2022","25,391","1 41,823","2 55,104"
63,62,"June, 2022","23,590","1 09,124","1 96,225"
64,63,"July, 2022","19,798","1 19,872","2 16,097"
65,64,"August, 2022","21,500","1 23,011","2 23,411"
